levels,tid,phoneticword,pid,code,word,translation,definition,refn,code_status,ontology_branches
L6,2197,jantumAtRu,2190,NB-1.7,जन्तुमातृ,infestation-जन्तुमतर ,"the disorder is characterized by व्रणदेशे हर्ष [bristling, sense of delightening/paraesthesia at wound site/ hyperesthesia], व्रणदेशे कण्डुः [itching at wound site], व्रणदेशे तोद [pain at wound site], व्रणदेशे संसर्पण [feeling of creeping/crawling of worms at wound site], कृमिणां अतिवृद्धा त्वक भक्षण [eating up of skin by enlarged कृमि], कृमिणां अतिवृद्धा सिरा भक्षण [eating up of vessels by enlarged कृमि], कृमिणां अतिवृद्धा स्नायु भक्षण [eating up स्नायु by enlarged कृमि], कृमिणां अतिवृद्धा मांस भक्षण [eating up मांस by enlarged कृमि], कृमिणां अतिवृद्धा तरुणास्थि भक्षण [eating up cartilage by enlarged कृमि], केश उपध्वंस [loss of hair], श्मश्रु उपध्वंस [loss of mustache], नख उपध्वंस [loss of nails], लोम उपध्वंस [loss of body hairs], पक्ष्मोपध्वंस [loss of eyelashes], रक्ताधिष्ठान जन्य विकाराः [diseases of रक्त/ blood borne diseases] ",Ca.Su.19/9. Ca.Vi.7/12; Ah.Ni.14/52; Ma.Ni.7/12; Sha.Pu.kha.7/16; Bp.Ma.7/14,Active,
L6,2198,nakhAdaH,2190,NB-1.8,नखादः,infestation-san nakhAda ,the disorder is characterized by रक्ताधिष्ठान जन्य विकाराः [diseases of रक्त/ blood borne diseases] ,Su.U.54/15,Active,
L6,2199,dantAdaH,2190,NB-1.9,दन्तादः,infestation-san dantAda ,the disorder is characterized by रक्ताधिष्ठान जन्य विकाराः [diseases of रक्त/ blood borne diseases] ,Su.U.54/15,Active,
L6,2200,kikkisaH,2190,NB-1.10,किक्किसः,a type of worm infestation ,the disorder is characterized by रक्ताधिष्ठान जन्य विकाराः [diseases of रक्त/ blood borne diseases] ,Su.U.54/15,Active,
L6,2201,SoNitajakRumiH,2190,NB-1.11,शोणितजकृमिः,infestation due to रक्त ,the disorder is characterized by रक्ताधिष्ठान जन्य विकाराः [diseases of रक्त/ blood borne diseases] ,Su.U.54/15,Active,
L6,2202,parIsarpaH,2190,NB-1.12,परीसर्पः,infestation-san parisarpa ,the disorder is characterized by रक्ताधिष्ठान जन्य विकाराः [diseases of रक्त/ blood borne diseases] ,Su.U.54/15,Active,
L5,2203,kaPajakRumiH,2189,NB-2,कफजकृमिः,infestation due to कफ ,"the disorder is characterized by अरोचकः [tastelessness], अविपाकः [indigestion], आनाहः [barborygmus with distention], आस्य संस्रवणम् [salivation], कार्श्य [emaciation], क्षवथुः [sneezing], छर्दिः [vomitting], ज्वरः [fever], पीनस [cold, catarrh], मूर्च्छा [syncope/attacks of swooning], हृल्लासः [nausea], जृम्भा [yawning], अंगमर्द [gheneralized bodyache], पारुष्यम् [roughness/dryness] ",Ah.Ni.14/47-50,Active,
L6,2204,antrAdaH,2203,NB-2.1,अन्त्रादः,infestation-अन्त्राद ,"the disorder is characterized by हृल्लासः [nausea], आस्य संस्रवणम् [salivation], अरोचकः [tastelessness], अविपाकः [indigestion], ज्वरः [fever], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], क्षवथुः [sneezing], आनाहः [barborygmus with distention], अंगमर्द [gheneralized bodyache], छर्दिः [vomiting], कार्श्य [emaciation], पारुष्यम् [roughness/dryness], पीनस [cold, catarrh] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/49; Ma.Ni.7/9; Sha.Pu.kha.7/15; Bp.Ma.7/10,Active,
L6,2205,udarAdaH/udarAveShTaH,2203,NB-2.2,उदरादः/उदरावेष्टः,infestation-उदराद ,"the disorder is characterized by हृल्लासः [nausea], आस्य संस्रवणम् [salivation], अरोचकः [tastelessness], अविपाकः [indigestion], ज्वरः [fever], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], क्षवथुः [sneezing], आनाहः [barborygmus with distention], अंगमर्द [gheneralized bodyache], छर्दिः [vomiting], कार्श्य [emaciation], पारुष्यम् [roughness/dryness], पीनस [cold, catarrh] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/49; Ma.Ni.7/9; Sha.Pu.kha.7/15; Bp.Ma.7/10,Active,
L6,2206,hRudayAdaH/hRudayodakaH,2203,NB-2.3,हृदयादः/हृदयोदकः,infestation-ह्रुदयाद ,"the disorder is characterized by हृल्लासः [nausea], आस्य संस्रवणम् [salivation], अरोचकः [tastelessness], अविपाकः [indigestion], ज्वरः [fever], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], क्षवथुः [sneezing], आनाहः [barborygmus with distention], अंगमर्द [gheneralized bodyache], छर्दिः [vomiting], कार्श्य [emaciation], पारुष्यम् [roughness/dryness], पीनस [cold, catarrh] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/49; Ma.Ni.7/9; Sha.Pu.kha.7/15; Bp.Ma.7/10,Active,
L6,2207,curuH/kuruH,2203,NB-2.4,चुरुः/कुरुः,infestation-चुरु ,"the disorder is characterized by हृल्लासः [nausea], आस्य संस्रवणम् [salivation], अरोचकः [tastelessness], अविपाकः [indigestion], ज्वरः [fever], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], क्षवथुः [sneezing], आनाहः [barborygmus with distention], अंगमर्द [gheneralized bodyache], छर्दिः [vomiting], कार्श्य [emaciation], पारुष्यम् [roughness/dryness], पीनस [cold, catarrh] ",Ca.Su.19/9; Ca.Vi.7/12; Su.U.54/6; Ah.Ni.14/49; Ma.Ni.7/10; Sha.Pu.kha.7/15; Bp.Ma.7/10,Active,
L6,2208,darBapuShpaH,2203,NB-2.5,दर्भपुष्पः,infestation-दर्भपुष्प ,"the disorder is characterized by हृल्लासः [nausea], आस्य संस्रवणम् [salivation], अरोचकः [tastelessness], अविपाकः [indigestion], ज्वरः [fever], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], क्षवथुः [sneezing], आनाहः [barborygmus with distention], अंगमर्द [gheneralized bodyache], छर्दिः [vomiting], कार्श्य [emaciation], पारुष्यम् [roughness/dryness], पीनस [cold, catarrh] ",Ca.Su.19/9; Ca.Vi.7/12; Su.U.54/12; Ah.Ni.14/49; Ma.Ni.7/10; Sha.Pu.kha.7/16; Bp.Ma.7/10,Active,
L6,2209,saugandhikaH,2203,NB-2.6,सौगन्धिकः,infestation-सौगन्धिक ,"the disorder is characterized by हृल्लासः [nausea], आस्य संस्रवणम् [salivation], अरोचकः [tastelessness], अविपाकः [indigestion], ज्वरः [fever], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], क्षवथुः [sneezing], आनाहः [barborygmus with distention], अंगमर्द [gheneralized bodyache], छर्दिः [vomiting], कार्श्य [emaciation], पारुष्यम् [roughness/dryness], पीनस [cold, catarrh] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/49; Ma.Ni.7/49; Sha.Pu.kha.7/16; Bp.Ma.7/10,Active,
L6,2210,mahAgudaH/mahAkuhaH,2203,NB-2.7,महागुदः/महाकुहः,infestation-महगुद ,"the disorder is characterized by हृल्लासः [nausea], आस्य संस्रवणम् [salivation], अरोचकः [tastelessness], अविपाकः [indigestion], ज्वरः [fever], मूर्च्छा [syncope/attacks of swooning], जृम्भा [yawning], क्षवथुः [sneezing], आनाहः [barborygmus with distention], अंगमर्द [gheneralized bodyache], छर्दिः [vomiting], कार्श्य [emaciation], पारुष्यम् [roughness/dryness], पीनस [cold, catarrh] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/49; Ma.Ni.7/9; Sha.Pu.kha.7/15; Bp.Ma.7/10,Active,
L6,2211,mahApuShpaH,2203,NB-2.8,महापुष्पः,infestation-महपुश्प ,"the disorder is characterized by शिरोरोग [diseases of head], हृद्रोग [diseases of heart], वमथु [vomiting], प्रतिश्यायः [cold, catarrh] ",Su.U.54/12,Active,
L6,2212,pralUnaH,2203,NB-2.9,प्रलूनः,infestation-प्रलून ,"the disorder is characterized by शिरोरोग [diseases of head], हृद्रोग [diseases of heart], वमथु [vomiting], प्रतिश्यायः [cold, catarrh] ",Su.U.54/12,Active,
L6,2213,cipiTaH,2203,NB-2.10,चिपिटः,infestation-चिपिट ,"the disorder is characterized by शिरोरोग [diseases of head], हृद्रोग [diseases of heart], वमथु [vomiting], प्रतिश्यायः [cold, catarrh] ",Su.U.54/12,Active,
L6,2214,pipIlikA,2203,NB-2.11,पिपीलिका,infestation-पिपीलिक ,"the disorder is characterized by शिरोरोग [diseases of head], हृद्रोग [diseases of heart], वमथु [vomiting], प्रतिश्यायः [cold, catarrh] ",Su.U.54/12,Active,
L6,2215,dAruNakRumiH,2203,NB-2.12,दारुणकृमिः,infestation-दारुण ,"the disorder is characterized by शिरोरोग [diseases of head], हृद्रोग [diseases of heart], वमथु [vomiting], प्रतिश्यायः [cold, catarrh] ",Su.U.54/12,Active,
L5,2216,purIShajakRumiH,2189,NB-3,पुरीषजकृमिः,infestation-faecal ,"the disorder is characterized by कार्श्य [emaciation], गुदमुखे कण्डु [pruritis ani], पाण्डुता [pallor], पारुष्य [roughness/dryness], लोमहर्षः [horripilation], विड्भेद [altered feces/ loose motions], विष्टम्भः [constipation/fullness in the abdomen], शूल [colicky pain], गुदमुखं परितुदन् [severe irritation at anus], गुदमुखं पर्यासते कण्डुः [itching at the edges of anus], गुदमुखं पर्यासते हर्षः [hyperasthesia at the edges of anus], कृमिं अतिवेलम् गुदेनिष्क्रमणं [per anal expulsion of कृमि] ",Bp.Ma.7/10,Active,
L6,2217,kakerukaH,2216,NB-3.1,ककेरुकः,infestation-ककेरुका ,"the disorder is characterized by कार्श्य [emaciation], गुदमुखे कण्डु [pruritis ani], पाण्डुता [pallor], पारुष्य [roughness/dryness], लोमहर्षः [horripilation], विड्भेद [altered feces/ loose motions], विष्टम्भः [constipation/fullness in the abdomen], शूल [colicky pain], गुदमुखं परितुदन् [severe irritation at anus], गुदमुखं पर्यासते कण्डुः [itching at the edges of anus], गुदमुखं पर्यासते हर्षः [hyperasthesia at the edges of anus], कृमिं अतिवेलम् गुदेनिष्क्रमणं [per anal expulsion of कृमि] ",Ca.Su.19/9; Ca.Vi.7/12; Su.U.54/8; Ah.Ni.14/55; Ma.Ni.7/15; Sha.Pu.kha.7/17; Bp.Ma.7/10,Active,
L6,2218,makerukaH,2216,NB-3.2,मकेरुकः,infestation-मकेरुका ,"the disorder is characterized by कार्श्य [emaciation], गुदमुखे कण्डु [pruritis ani], पाण्डुता [pallor], पारुष्य [roughness/dryness], लोमहर्षः [horripilation], विड्भेद [altered feces/ loose motions], विष्टम्भः [constipation/fullness in the abdomen], शूल [colicky pain], गुदमुखं परितुदन् [severe irritation at anus], गुदमुखं पर्यासते कण्डुः [itching at the edges of anus], गुदमुखं पर्यासते हर्षः [hyperasthesia at the edges of anus], कृमिं अतिवेलम् गुदेनिष्क्रमणं [per anal expulsion of कृमि] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/55; Ma.Ni.7/15; Sha.Pu.kha.7/17; Bp.Ma.7/10,Active,
L6,2219,lelihaH,2216,NB-3.3,लेलिहः,infestation-लेलिह ,"the disorder is characterized by कार्श्य [emaciation], गुदमुखे कण्डु [pruritis ani], पाण्डुता [pallor], पारुष्य [roughness/dryness], लोमहर्षः [horripilation], विड्भेद [altered feces/ loose motions], विष्टम्भः [constipation/fullness in the abdomen], शूल [colicky pain], गुदमुखं परितुदन् [severe irritation at anus], गुदमुखं पर्यासते कण्डुः [itching at the edges of anus], गुदमुखं पर्यासते हर्षः [hyperasthesia at the edges of anus], कृमिं अतिवेलम् गुदेनिष्क्रमणं [per anal expulsion of कृमि] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/55; Ma.Ni.7/15; Sha.Pu.kha.7/17; Bp.Ma.7/10,Active,
L6,2220,saSUlakaH,2216,NB-3.4,सशूलकः,infestation-सशूलक ,"the disorder is characterized by कार्श्य [emaciation], गुदमुखे कण्डु [pruritis ani], पाण्डुता [pallor], पारुष्य [roughness/dryness], लोमहर्षः [horripilation], विड्भेद [altered feces/ loose motions], विष्टम्भः [constipation/fullness in the abdomen], शूल [colicky pain], गुदमुखं परितुदन् [severe irritation at anus], गुदमुखं पर्यासते कण्डुः [itching at the edges of anus], गुदमुखं पर्यासते हर्षः [hyperasthesia at the edges of anus], कृमिं अतिवेलम् गुदेनिष्क्रमणं [per anal expulsion of कृमि] ",Ca.Su.19/9; Ca.Vi.7/12; Ah.Ni.14/55; Ma.Ni.7/15; Sha.Pu.kha.7/17; Bp.Ma.7/10,Active,
L6,2221,sausurAdaH/sausUlakaH,2216,NB-3.5,सौसुरादः/सौसूलकः,infestation-सौसुराद ,"the disorder is characterized by कार्श्य [emaciation], गुदमुखे कण्डु [pruritis ani], पाण्डुता [pallor], पारुष्य [roughness/dryness], लोमहर्षः [horripilation], विड्भेद [altered feces/ loose motions], विष्टम्भः [constipation/fullness in the abdomen], शूल [colicky pain], गुदमुखं परितुदन् [severe irritation at anus], गुदमुखं पर्यासते कण्डुः [itching at the edges of anus], गुदमुखं पर्यासते हर्षः [hyperasthesia at the edges of anus], कृमिं अतिवेलम् गुदेनिष्क्रमणं [per anal expulsion of कृमि] ",Ca.Su.19/9; Ca.Vi.7/12; Su.U.54/12; Ah.Ni.14/55; Ma.Ni.7/15 u.54/17; Bp.Ma.7/10,Active,
L6,2222,ajavaH,2216,NB-3.6,अजवः,infestation-अजव ,"the disorder is characterized by शूल [colicky pain in the abdomen], अग्निमांद्द [diminution of अग्नि (digestive power)], पाण्डु [pallor/ anemia], विष्ट्म्भ [constipation/fullness in the abdomen], बलसंक्षय [loss of strength], प्रसेकः [excessive salivation], अरुचि [tastelessness], हृद्रोग [diseases of heart], विड्भेद [altered feces/ loose motions] ",Su.U.54/8,Active,
L6,2223,vijavaH,2216,NB-3.7,विजवः,infestation-विजव ,"the disorder is characterized by शूल [colicky pain in the abdomen], अग्निमांद्द [diminution of अग्नि (digestive power)], पाण्डु [pallor/ anemia], विष्ट्म्भ [constipation/fullness in the abdomen], बलसंक्षय [loss of strength], प्रसेकः [excessive salivation], अरुचि [tastelessness], हृद्रोग [diseases of heart], विड्भेद [altered feces/ loose motions] ",Su.U.54/8,Active,
L6,2224,kipya,2216,NB-3.8,किप्य,infestation-किप्य ,"the disorder is characterized by शूल [colicky pain in the abdomen], अग्निमांद्द [diminution of अग्नि (digestive power)], पाण्डु [pallor/ anemia], विष्ट्म्भ [constipation/fullness in the abdomen], बलसंक्षय [loss of strength], प्रसेकः [excessive salivation], अरुचि [tastelessness], हृद्रोग [diseases of heart], विड्भेद [altered feces/ loose motions] ",Su.U.54/8,Active,
L6,2225,cipyaH,2216,NB-3.9,चिप्यः,infestation-चिप्य ,"the disorder is characterized by शूल [colicky pain in the abdomen], अग्निमांद्द [diminution of अग्नि (digestive power)], पाण्डु [pallor/ anemia], विष्ट्म्भ [constipation/fullness in the abdomen], बलसंक्षय [loss of strength], प्रसेकः [excessive salivation], अरुचि [tastelessness], हृद्रोग [diseases of heart], विड्भेद [altered feces/ loose motions] ",Su.U.54/8,Active,
L6,2226,gaNDUpadaH,2216,NB-3.10,गण्डूपदः,infestation-गण्डूपद ,"the disorder is characterized by शूल [colicky pain in the abdomen], अग्निमांद्द [diminution of अग्नि (digestive power)], पाण्डु [pallor/ anemia], विष्ट्म्भ [constipation/fullness in the abdomen], बलसंक्षय [loss of strength], प्रसेकः [excessive salivation], अरुचि [tastelessness], हृद्रोग [diseases of heart], विड्भेद [altered feces/ loose motions] ",Su.U.54/8,Active,
L6,2228,dvimukhaH,2216,NB-3.11,द्विमुखः,infestation-द्विमुख ,"the disorder is characterized by शूल [colicky pain in the abdomen], अग्निमांद्द [diminution of अग्नि (digestive power)], पाण्डु [pallor/ anemia], विष्ट्म्भ [constipation/fullness in the abdomen], बलसंक्षय [loss of strength], प्रसेकः [excessive salivation], अरुचि [tastelessness], हृद्रोग [diseases of heart], विड्भेद [altered feces/ loose motions] ",Su.U.54/8,Active,
L6,2229,sulUnA,2216,NB-3.12,सुलूना,affection of क्रिमि named सुलूना ,"the disorder is characterized by लोमहर्षः [horripilation], कार्श्य [emaciation], पारुष्य [roughness/dryness], अग्निसदन [diminution of अग्नि (digestive power)], गुदकण्डु [itching at anus/perianal region], गुदे कृमि निर्गमनम् [per anal expulsion of कृमि], पाण्डुता [pallor/ anemia], विड्भेद [altered feces/ loose motions], शूल [colicky pain in the abdomen], विष्ट्म्भ [constipation/fullness in the abdomen] ",A.H.Ni.14/55,Active,
L5,2230,kaPaSoNitajakRumiH,2189,NB-4,कफशोणितजकृमिः,worm/parasite arise from कफ and blood , ,Ma.Ni.Sha.Pu.kha.7/18,Active,
L6,2231,snAyuka/kRumiH,2230,NB-4.1,स्नायुक/कृमिः,infestation-स्नायुक ,the disorder is characterized by विसर्पवत शोथ [oedema as visarpa/ erysipelas] ,Ma.Ni.Sha.Pu.kha.7/18,Active,
L7,2232,vAtika snAyuka,2231,NB-4.1.1,वातिक स्नायुक,snAyuka due to वात ,"the disorder is characterized by श्याव [blackish discoloration], रूक्षः [dry], अतिपीडन युक्त [with severe pain] ",Ma.Ni. Parishistam (Snayuka Nidanam),Active,
L7,2233,pittaja snAyuka,2231,NB-4.1.2,पित्तज स्नायुक,snAyuka due to पित्त ,"the disorder is characterized by नीलिमा [bluish tinge], पीत [yellowish], दाहः [burning sensation] ",Ma.Ni. Parishistam (Snayuka Nidanam),Active,
L3,2235,kShudrarogaH,2,O,क्षुद्ररोगः,minor disorders , ,Sha.Pu.7/91; Bp.Ma.61,Active,
L4,2236,agnirohiNI,2235,O-1,अग्निरोहिणी,vesicles arising in axilla ,"the disorder is characterized by अन्तर्दाहः युक्त स्फोटाः [blisters with internal burning sensation], कक्षाभागेषु स्फोटाः [blisters in axilla], ज्वरः [fever], दीप्तपावकसन्निभः स्फोटाः(अग्न्याभा) [blisters resemble blazing of fire], मांस दारण (दारुण) स्फोटाः [blisters burrowing muscle] ",Su.Ni.13/19-20; Ah.U. 31/14-15; Ma.Ni.55/16-17; Sha.Pu.7/93; Bp.Ma. 61/66-67,Active,
L4,2237,ajagallikA,2235,O-2,अजगल्लिका,painless greengram like papules in children ,"the disorder is characterized by ग्रथित पिटिका [hard nodular/papular lesions], नीरुज पिटिका [painless nodule], मुद्ग सन्निभःपिटिका [nodule of the size of green gram], त्वक सवर्ण पिटिका [skin coloured nodule], स्निग्ध पिटिका [waxy/ unctuous lesion] ","Su.Ni.13/4; Ah.U. 31/1; Ma.Ni.55/1; Bp.Ma. 61/143, Sha.Pu.kha.7/186-190",Active,Note: Also Classifed under बालरोगः-सङ्कीर्ण[MD]
L4,2238,anuSayI,2235,O-3,अनुशयी,deep rooted abscess in foot ,"the disorder is characterized by अल्प संरम्भ पिटिका [less inflammed nodules], गम्भीर पिटिका [deep routed lesion], अन्तः प्रपाकः [lesion with tendency to suppurate internally], त्वक् सवर्ण पिटिका [skin coloured nodule], उपरिस्थिताः (मस्तकोपरि) पिटिका [located in scalp/ head] ",Su.Ni.13/23; Sha.Pu.7/94; Bp.Ma. 61/116,Active,
L4,2239,andhAlajI/antrAlajI,2235,O-4,अन्धालजी/अन्त्रालजी,elevated papule ,"the disorder is characterized by अल्प पूय युक्त पिडका [Lesion with small amount of pus or with less tendency to suppurate], अवक्त्र पिडका [lesion without punctum], उन्नत परिमण्डल पिडका [raised circular lesion], घन पिडका [thick and firm lesion], आम उदुम्बर संकाश पिडका [lesion resembling unripe fig fruit] ",Su.Ni.13/6; Ma.Ni.55/3; Sha.Pu.7/91; Bp.Ma. 61/146,Active,
L4,2241,avapIDakaH,2235,O-5,अवपीडकः,prepucial tears ,the disorder is characterized by अव्पाट्यते चर्मः (मेढ्रे) [fissuring or cracking of skin of prepuce] ,Su.Ni.13/50-52; Ah.U. 31/19; Ma.Ni.55/45; Sha.Pu.7/84; Bp.Ma.61/85-86,Active,
L4,2242,alasaH,2235,O-6,अलसः,interdigital inflammation ,"the disorder is characterized by पाद अङ्गुल्यन्तरा रुजा [pain in the interdigital areas of feet], पाद अङ्गुल्यन्तरा कण्डु [itching in the interdigital areas of feet], पाद अङ्गुल्यन्तरा क्लेदः/क्लिन्नता [sticky moistness of interdigital areas of feet], पाद अङ्गुल्यान्तरा दाहः [burning sensation of interdigital areas of feet] ",Su.Ni.13/32; Ah.U. 31/25; Ma.Ni.55/27; Sha.Pu.7/84; Bp.Ma. 61/118,Active,
L4,2243,arUMShikA,2235,O-7,अरूंषिका,eruptions on head having multiple openings/furunculosis ,"the disorder is characterized by क्लेद बहुल पिटिकाः(कपाले)/ बहु क्लेदीनि [wet papules on scalp], कपाले बहुवक्त्राणि पिटिका [scalp lesions with multiple openings], सिद्धार्थनिभ पिटिका [lesion resembling the size and shape and colour of mustard seed], कङ्गुनिभ पिटिका [lesion resembling the size and shape of jyotishmati seeds (celastrus paniculata)] ",Su.Ni.13/36; Ah.U. 31/22; Ma.Ni.55/31; Sha.Pu.7/152; Bp.Ma. 61/19,Active,
L4,2244,indraviddhA,2235,O-8,इन्द्रविद्धा,lotus pod lesion ,the disorder is characterized by पद्मकर्णिकवत्/(पद्मपुष्करवत्) मध्ये पिटिका [numerous papular lesions conglomerated to give the appearance of lotus flower thalamus] ,Su.Ni.13/11; Ma.Ni.55/8; Sha.Pu.7/91; Bp.Ma. 61/141,Active,
L4,2245,utkoThaH,2235,O-9,उत्कोठः,multiple pruritic rashes ,the disorder is characterized by कोठः सानुबन्धस्तु उत्कोठः [कोथ that recur again and again] ,Ah.U. 31/32,Active,
L4,2246,koThaH,2235,O-10,कोठः,skin eruption/wheal/pruritic sanguineous lesion ,"the disorder is characterized by रागवन्ति मण्डलः [reddish circular rash], बहूनि मण्डलः [multiple circular lesions or rashes], अतिकण्डू मण्डलः [lesions associated with excessive itching] ",Ca.Su.24/16; Ah.U.31/32; Ma.Ni.50/3; Sha.Pu.7/94; Bp.Ma.54/56,Active,Note: Also Classifed under शोणितजन्यरोगः[ED-2] and रक्तवहस्रोतोविकार [ED]
L4,2247,irivellikA,2235,O-11,इरिवेल्लिका,circular eruptions on neck and head due to three दोष ,"the disorder is characterized by ज्वरान्वित पिटिका [occurrence of lesion associated with fever], उत्तमाङ्गस्तु/जत्रूर्ध्व पिटिका [papularlesion that occur in supra-clavicular region], वृत्त पिटिका [circular lesion], उग्ररुजा पिटिका [papular lesion associated with severe pain] ",Su.Ni.13/15; Ah.U. 31/16; Ma.Ni.55/13; Sha.Pu.7/93; Bp.Ma. 61/22,Active,
L4,2248,kakShAH,2235,O-12,कक्षाः,hidradenitis suppurativa/axillary or inguinal abscess ,"the disorder is characterized by बाहुप्रदेशे स्फोटाः [vesicular lesions in upper arm], पार्श्वेषु स्फोटाः [vesicular lesions in and around flanks], कक्षासन्नेषु/ कक्षे स्फोटाः [vesicular lesions in peri-axillar regions], अंस देशे स्फोटाः [vesicular lesions in shoulder], कृष्ण स्फोटाः [black coloured vesicular lesions], सवेदना स्फोटाः [painful vesicles], सूक्ष्मा पिटिका [minute papular/vesicular lesions], लाजोपमा पिटिका [lesions that appear like लाजा (parched paddy)], घन पिटिका [lesions that are thick and dense] ",Ca.Su.20/14; Ca.Ci.12/91; Su.Ci.20/7; Su.Ni.13/16; Ah.U. 31/11; Ma.Ni.55/14; Sha.Pu.7/95; Bp.Ma. 61/63,Active,
L4,2249,kacCapikA,2235,O-13,कच्छपिका,testudinal lesion ,"the disorder is characterized by ग्रथितः शोथः [hard nodular swelling], कच्छपोन्नत(शोथः) [tortoise shell like swelling which is elevated in the middle], पञ्च/षट् [5 or 6 in number] ",Ca.Su.17/84; Su.Ni.13/8; Ah.U. 31/3; Ma.Ni.55/5; Sha.Pu.7/92; Bp.Ma. 61/153,Active,
L4,2250,kadaraH,2235,O-14,कदरः,corn/callosity ,"the disorder is characterized by कोलवत् उत्सन्न ग्रन्थि [swelling resembling the size and shape of indian jujube (कोल)], कीलवत् उत्सन्न ग्रन्थिः [swelling that appear like nail] ",Su.Ni.13/30-31; Ah.U. 31/21; Ma.Ni.55/26; Sha.Pu.7/93; Bp.Ma. 61/127,Active,
L4,2251,kunakhaH,2235,O-15,कुनखः,paronychia ,"the disorder is characterized by खर नख [rough appearance and texture of nails], असित नख [blackish coloured nails], रूक्ष नख [dry nails] ",Su.Ni.13/22-23; Ah.U. 31/24; Ma.Ni.55/19; Sha.Pu.7/94; Bp.Ma. 61/72,Active,
L4,2253,gandhanAmA/gandhamAlA,2235,O-16,गन्धनामा/गन्धमाला,solitary large black vesicle ,"the disorder is characterized by स्फोट सन्निभः पिटिका [lesion resembling vesicles], एकं [one in number], बाहु देशे स्फोट सन्निभः एक पिटिका [single vesicular lesion in upper arm], अंस देशे स्फोट सन्निभः एक पिटिका [single vesicular lesion in the shoulder region], पार्श्व देशे स्फोट सन्निभः एक पिटिका [single vesicular lesion in the flanks], कक्षा देशे स्फोट सन्निभः एक पिटिका [single vesicular lesion in the axillary region], महती पिटिका [large vesicular swelling], लाज सदृश पिटिका [vesicle/lesions resembling parched paddy] ",Su.Ni.13/17; Ah.U. 31/12; Ma.Ni.55/15; Sha.Pu.7/152; Bp.Ma. 61/63,Active,
L4,2254,gardaBikA,2235,O-17,गर्दभिका,blood blister ,"the disorder is characterized by सरक्त पिडकाचितम्/ सरागः पिटिकाचिता [main lesion surrounded by reddish many small lesions], मण्डलाकार पिडका [rounded eruptions], वृत्त पिडका [rounded lesions], उत्सन्न पिडका [elevated lesions], रुजाकरी पिडका [lesions associated with severe pain], विपुल पिडका [abundant papular lesions] ",Su.Ni.13/11; Ah.U. 31/10; Ma.Ni.55/9; Sha.Pu.7/92; Bp.Ma. 61/150,Active,
L4,2255,gudaBraMSaH,2235,O-18,गुदभ्रंशः,rectal prolapse ,the disorder is characterized by गुदं बहिः निर्गमनम् [rectal prolapse] ,Ca.Su.20/11; Su.Ni.13/61; Ma.Ni.55/54; Sha.Pu.7/93; Bp.Ma. 61/105,Active,
L4,2256,carmakIlaH,2235,O-19,चर्मकीलः,wart ,"the disorder is characterized by त्वचो बहिः कीलोपमम् [nail like projection from skin surface], स्थिरम् [fixed projection], खरम् [rough textured projection], त्वचो बहिः अर्शः [pile mass like projection from skin surface], मषेभ्यतून्नततरा [more elevated than मश], सिता [whitish projection], असित [blackish projection] ",Su.Ni.13/45; Ah.U. 31/26; Ah.Ni.7/57; Sha.Pu.7/13; Bp.Ma. 61/42,Active,
L4,2257,vAtika-carmakIlaH,2235,O-19.1,वातिक-चर्मकीलः,चर्मकील due to वात ,"the disorder is characterized by तोद युक्त कीलः [projection associated with pricking pain], पारुष्य युक्तः [roughness/dryness] ",Ah.Ni.7/58,Active,
L4,2258,paittika-carmakIlaH,2235,O-19.2,पैत्तिक-चर्मकीलः,चर्मकील due to पित्त ,the disorder is characterized by असित रक्तता (कील) [black pile mass] ,Ah.Ni.7/58,Active,
L4,2259,kaPaja-carmakIlaH,2235,O-19.3,कफज-चर्मकीलः,चर्मकील due to कफ ,"the disorder is characterized by त्वक् सवर्ण कीलः [Skin coloured nail like projection], ग्रथित कीलः [knotted nail like projection over skin surface], स्निग्ध कीलः [unctuous nail like projection] ",Ah.Ni.7/58,Active,
